0,Emotion,Confidence,Room,Device
4/17/2025 18:10:09,Neutral,27.12,Entrance,
4/17/2025 18:10:17,Sad,26.18,Entrance,
4/17/2025 18:10:25,Neutral,26.83,Entrance,
4/17/2025 18:10:38,Sad,25.83,Entrance,
4/17/2025 18:10:41,Neutral,26.18,Entrance,
4/17/2025 18:10:57,Sad,25.99,Entrance,
4/17/2025 18:11:01,Neutral,27.01,Entrance,
4/17/2025 18:11:09,Sad,26.09,Entrance,
4/17/2025 18:11:13,Neutral,27.05,Entrance,
4/17/2025 18:11:21,Sad,26.08,Entrance,
4/17/2025 18:11:25,Neutral,26.95,Entrance,
4/17/2025 18:11:41,Sad,25.86,Entrance,
4/17/2025 18:11:45,Neutral,27.18,Entrance,
4/17/2025 18:11:57,Sad,25.99,Entrance,
4/17/2025 18:12:01,Neutral,26.83,Entrance,
4/17/2025 18:12:13,Sad,25.96,Entrance,
4/17/2025 18:12:17,Neutral,26.91,Entrance,
4/17/2025 18:12:41,Sad,26.13,Entrance,
4/17/2025 18:12:45,Neutral,27.1,Entrance,
4/17/2025 18:13:44,Sad,26.31,Entrance,
4/17/2025 18:13:48,Neutral,26.99,Entrance,
4/17/2025 18:14:03,Sad,26.13,Entrance,
4/17/2025 18:14:12,Sad,26.41,Entrance,
4/17/2025 18:14:24,Neutral,27.15,Entrance,
4/17/2025 18:14:32,Sad,26.76,Entrance,
4/17/2025 18:14:36,Neutral,27.08,Entrance,
4/17/2025 18:14:52,Sad,26.59,Entrance,
4/17/2025 18:14:56,Neutral,27.24,Entrance,
4/17/2025 18:15:08,Sad,26.55,Entrance,
4/17/2025 18:15:12,Neutral,27.17,Entrance,
4/17/2025 18:15:17,Sad,26.71,Entrance,
4/17/2025 18:15:20,Neutral,27.04,Entrance,
4/17/2025 18:15:36,Sad,26.61,Entrance,
4/17/2025 18:15:40,Neutral,26.93,Entrance,
4/17/2025 18:15:44,Sad,26.74,Entrance,
4/17/2025 18:15:48,Neutral,26.83,Entrance,
4/17/2025 18:15:56,Sad,26.76,Entrance,
4/17/2025 18:16:05,Neutral,26.82,Entrance,
4/17/2025 18:16:08,Sad,26.87,Entrance,
4/17/2025 18:16:12,Neutral,26.85,Entrance,
4/17/2025 18:16:16,Sad,26.64,Entrance,
4/17/2025 18:16:20,Neutral,26.94,Entrance,
4/17/2025 18:16:24,Sad,26.7,Entrance,
4/17/2025 18:17:44,Surprise,26.5,Entrance,
4/17/2025 18:17:49,Sad,26.61,Entrance,
4/17/2025 18:19:36,Surprise,26.57,Entrance,
4/17/2025 18:19:40,Sad,26.31,Entrance,
4/17/2025 18:20:32,Neutral,26.3,Entrance,
4/17/2025 18:20:44,Sad,26.06,Entrance,
4/17/2025 18:21:00,Neutral,25.95,Entrance,
4/17/2025 18:21:08,Sad,26.19,Entrance,
4/17/2025 18:21:12,Neutral,26.23,Entrance,
4/17/2025 18:21:24,Sad,25.99,Entrance,
4/17/2025 18:21:28,Neutral,26.27,Entrance,
4/17/2025 18:22:00,Sad,26.09,Entrance,
4/17/2025 18:22:04,Neutral,26.03,Entrance,
4/17/2025 18:22:17,Sad,26.18,Entrance,
4/17/2025 18:22:21,Neutral,26.44,Entrance,
4/17/2025 18:22:28,Sad,25.97,Entrance,
4/17/2025 18:22:33,Neutral,26.8,Entrance,
4/17/2025 18:24:20,Sad,26.36,Entrance,
4/17/2025 18:24:23,Neutral,27.85,Entrance,
4/17/2025 18:28:10,Sad,26.22,Entrance,
4/17/2025 18:28:14,Neutral,27.8,Entrance,
4/17/2025 18:28:38,Sad,26.19,Entrance,
4/17/2025 18:28:42,Neutral,26.62,Entrance,
4/17/2025 18:29:22,Sad,26.21,Entrance,
4/17/2025 18:29:26,Neutral,26.49,Entrance,
4/17/2025 18:29:38,Sad,26.38,Entrance,
4/17/2025 18:29:46,Neutral,26.7,Entrance,
4/17/2025 18:29:50,Sad,26.59,Entrance,
4/17/2025 18:29:54,Neutral,27.11,Entrance,
4/17/2025 18:29:58,Sad,26.64,Entrance,
4/17/2025 18:30:02,Neutral,27.03,Entrance,
4/17/2025 18:30:14,Sad,26.45,Entrance,
4/17/2025 18:30:22,Neutral,26.92,Entrance,
4/17/2025 18:30:25,Sad,26.45,Entrance,
4/17/2025 18:30:30,Neutral,26.68,Entrance,
4/17/2025 18:30:38,Sad,26.36,Entrance,
4/17/2025 18:30:42,Neutral,26.62,Entrance,
4/17/2025 18:30:46,Sad,26.55,Entrance,
4/17/2025 18:31:06,Neutral,26.63,Entrance,
4/17/2025 18:31:10,Sad,26.55,Entrance,
4/17/2025 18:31:18,Neutral,26.28,Entrance,
4/17/2025 18:31:27,Sad,26.39,Entrance,
4/17/2025 18:31:30,Neutral,26.16,Entrance,
4/17/2025 18:31:34,Sad,25.99,Entrance,
